label,confidence,xmin,ymin,xmax,ymax
0,0.7362683415412903,551,58,569,77
0,0.7239401936531067,2,115,18,134
0,0.6541586518287659,650,174,668,191
0,0.6004164814949036,222,69,239,86
0,0.5970596075057983,647,103,667,123
0,0.5790421366691589,644,0,664,16
0,0.5230626463890076,33,45,51,63
0,0.5196499824523926,529,134,549,154
0,0.5124221444129944,2,3,22,22
0,0.49596890807151794,238,300,255,318
0,0.48297134041786194,1,10,21,29
0,0.48114824295043945,1,19,20,38
0,0.4719149172306061,662,96,679,114
0,0.4499341547489166,650,85,668,104
0,0.449774831533432,635,6,654,25
0,0.44792211055755615,33,56,52,73
0,0.44705596566200256,1,27,21,47
0,0.44697943329811096,341,32,361,51
0,0.44533470273017883,561,27,580,46
0,0.4434642493724823,2,60,21,79
0,0.4328325390815735,566,23,584,42
0,0.43243342638015747,657,31,677,50
0,0.4320915937423706,564,33,581,51
0,0.4227468967437744,3,52,21,72
0,0.42242714762687683,2,36,21,56
0,0.419689416885376,640,288,658,307
0,0.40699201822280884,3,69,21,88
0,0.406206339597702,672,28,690,47
0,0.4054804742336273,193,126,214,148
0,0.40104255080223083,560,46,578,64
0,0.3992854058742523,102,18,122,37
0,0.3955947160720825,10,27,30,47
0,0.39363518357276917,11,19,31,38
0,0.39006903767585754,670,61,688,81
0,0.3852890431880951,665,75,682,94
0,0.3843214213848114,9,36,28,56
0,0.37991058826446533,9,3,29,21
0,0.3794352114200592,559,53,578,72
0,0.3742000162601471,250,296,269,315
0,0.37235864996910095,10,61,30,80
0,0.37058311700820923,11,11,31,30
0,0.37001362442970276,535,138,553,157
0,0.36817970871925354,9,44,29,63
0,0.36670422554016113,22,61,42,80
0,0.366012841463089,10,51,30,71
0,0.36386504769325256,395,194,412,211
0,0.3604213297367096,565,9,584,28
0,0.35789555311203003,625,18,644,38
0,0.35688674449920654,632,3,650,21
0,0.3557681441307068,11,68,30,87
0,0.35444650053977966,659,25,678,44
0,0.3513728976249695,641,161,660,181
0,0.3508516252040863,550,126,568,145
0,0.35080698132514954,334,4,352,21
0,0.34482502937316895,576,22,595,42
0,0.3420363664627075,660,4,678,20
0,0.3415730595588684,666,4,684,21
0,0.3405732214450836,566,44,583,64
0,0.3405087888240814,327,4,345,21
0,0.33859729766845703,20,27,40,47
0,0.3374914824962616,549,28,568,46
0,0.33631327748298645,675,3,690,21
0,0.3340272605419159,19,18,40,37
0,0.33325085043907166,28,50,47,69
0,0.33293917775154114,269,3,288,20
0,0.33220556378364563,551,35,568,53
0,0.330619215965271,523,148,540,167
0,0.3300148844718933,232,63,249,80
0,0.32936033606529236,631,12,650,30
0,0.3291667401790619,318,4,336,21
