label,confidence,xmin,ymin,xmax,ymax
0,0.9995817542076111,429,619,781,952
0,0.9995635747909546,2365,1065,2809,1523
0,0.9989784955978394,828,967,1228,1358
0,0.9988585710525513,3167,290,3575,674
0,0.9986438751220703,2731,369,3089,704
0,0.9970514178276062,2027,796,2427,1149
0,0.9969232082366943,1589,0,1944,217
0,0.9968153238296509,376,938,828,1386
0,0.9966933131217957,3170,595,3561,971
0,0.9949885606765747,1974,144,2360,517
0,0.9914852380752563,815,524,1184,882
0,0.991134524345398,2400,1874,2818,2297
0,0.9901958107948303,375,0,748,236
0,0.9896869659423828,2396,390,2757,740
0,0.9876098036766052,2106,496,2460,819
0,0.9837098121643066,396,225,804,613
0,0.9768006801605225,3365,0,3862,305
0,0.9764733910560608,1262,240,1626,620
0,0.9747730493545532,2389,1505,2796,1920
0,0.9482107162475586,737,190,1120,558
0,0.9392067193984985,2678,737,3069,1140
0,0.9387586116790771,3527,550,3911,923
0,0.9329432845115662,2766,1481,3150,1892
0,0.9088596105575562,1660,1725,1963,2069
0,0.8995227217674255,3049,1390,3218,1569
0,0.855376660823822,1647,211,1979,550
0,0.8526814579963684,753,0,1137,274
0,0.8385493159294128,3187,1416,3527,1782
0,0.825824499130249,2392,806,2720,1141
0,0.7862508893013,1178,0,1567,258
0,0.7743780612945557,3072,1101,3235,1278
0,0.7564878463745117,485,1414,846,1750
0,0.737212598323822,2730,30,3120,331
0,0.7231774926185608,3038,744,3203,928
0,0.7168861031532288,1570,659,1919,1000
0,0.6858083009719849,1637,1358,1975,1708
0,0.6683867573738098,526,946,920,1341
0,0.6447128057479858,405,1644,576,1805
0,0.6423483490943909,3088,0,3454,275
0,0.6422641277313232,2938,500,3300,896
0,0.5982823967933655,3179,982,3543,1366
0,0.5915679335594177,2407,546,2763,933
0,0.5739277005195618,1238,1773,1572,2071
0,0.5646588802337646,2314,423,2653,773
0,0.5507084727287292,1700,0,2119,216
0,0.5441156029701233,3064,1157,3233,1336
0,0.5177348256111145,1987,476,2353,846
0,0.513857364654541,2091,2025,2399,2322
0,0.5043854713439941,3111,1394,3283,1571
0,0.5019857883453369,1249,1379,1595,1725
0,0.5012146830558777,1244,23,1352,107
